,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2468,2024,MI,FT,Data Analyst,187000.0,USD,187000.0,US,0.0,US,M
2469,2024,MI,FT,Data Analyst,153000.0,USD,153000.0,US,0.0,US,M
2470,2024,MI,FT,Data Engineer,185000.0,USD,185000.0,US,0.0,US,L
2471,2024,MI,FT,Data Engineer,81000.0,USD,81000.0,US,0.0,US,L
2472,2024,SE,FT,Machine Learning Engineer,290000.0,USD,290000.0,US,0.0,US,M
2473,2024,SE,FT,Machine Learning Engineer,203000.0,USD,203000.0,US,0.0,US,M
2474,2024,SE,FT,AI Engineer,142352.0,USD,142352.0,US,0.0,US,M
2475,2024,SE,FT,AI Engineer,95325.0,USD,95325.0,US,0.0,US,M
2476,2024,MI,FT,Data Analyst,187000.0,USD,187000.0,US,0.0,US,M
2477,2024,MI,FT,Data Analyst,153000.0,USD,153000.0,US,0.0,US,M
2478,2024,SE,FT,Data Scientist,190000.0,USD,190000.0,CA,0.0,CA,M
2479,2024,SE,FT,Data Scientist,158500.0,USD,158500.0,CA,0.0,CA,M
2480,2024,MI,FT,Data Scientist,240000.0,USD,240000.0,US,0.0,US,M
2481,2024,MI,FT,Data Scientist,180000.0,USD,180000.0,US,0.0,US,M
2482,2024,EN,CT,AI Research Scientist,80000.0,EUR,88888.0,DE,0.0,DE,L
2483,2024,EX,FT,Data Science Director,96000.0,EUR,106666.0,ES,100.0,ES,L
2484,2024,EX,FT,Data Science Director,96000.0,EUR,106666.0,ES,100.0,ES,L
2485,2024,SE,FT,Data Engineer,130500.0,USD,130500.0,US,0.0,US,M
2486,2024,SE,FT,Data Engineer,96000.0,USD,96000.0,US,0.0,US,M
2487,2024,MI,FT,Data Scientist,166000.0,USD,166000.0,US,0.0,US,M
2488,2024,MI,FT,Data Scientist,73100.0,USD,73100.0,US,0.0,US,M
2489,2024,MI,FT,Machine Learning Engineer,50000.0,GBP,62500.0,GB,0.0,GB,M
2490,2024,MI,FT,Machine Learning Engineer,40000.0,GBP,50000.0,GB,0.0,GB,M
2491,2024,SE,FT,Data Analyst,234000.0,USD,234000.0,US,0.0,US,M
2492,2024,SE,FT,Data Analyst,146000.0,USD,146000.0,US,0.0,US,M
2493,2024,SE,FT,Data Engineer,100000.0,GBP,125000.0,GB,0.0,GB,M
2494,2024,SE,FT,Data Engineer,100000.0,GBP,125000.0,GB,0.0,GB,M
2495,2024,SE,FT,Data Scientist,58800.0,EUR,65333.0,LT,0.0,LT,M
2496,2024,SE,FT,Data Scientist,42000.0,EUR,46666.0,LT,0.0,LT,M
2497,2024,SE,FT,Data Engineer,105000.0,USD,105000.0,US,100.0,US,M
2498,2024,SE,FT,Data Engineer,95000.0,USD,95000.0,US,100.0,US,M
2499,2024,EN,FT,Data Analyst,60500.0,USD,60500.0,US,0.0,US,M
2500,2024,EN,FT,Data Analyst,40300.0,USD,40300.0,US,0.0,US,M
2501,2024,MI,FT,Data Analyst,160000.0,USD,160000.0,US,0.0,US,M
2502,2024,MI,FT,Data Analyst,95000.0,USD,95000.0,US,0.0,US,M
2503,2024,EN,FT,Data Engineer,152500.0,USD,152500.0,US,0.0,US,M
2504,2024,EN,FT,Data Engineer,138200.0,USD,138200.0,US,0.0,US,M
2505,2024,SE,FT,Research Scientist,164300.0,USD,164300.0,US,0.0,US,M
2506,2024,SE,FT,Research Scientist,104000.0,USD,104000.0,US,0.0,US,M
2507,2024,SE,FT,Data Analyst,163700.0,USD,163700.0,US,0.0,US,M
2508,2024,SE,FT,Data Analyst,109100.0,USD,109100.0,US,0.0,US,M
2509,2024,SE,FT,Data Engineer,130000.0,USD,130000.0,US,0.0,US,M
2510,2024,SE,FT,Data Engineer,100000.0,USD,100000.0,US,0.0,US,M
2511,2024,SE,FT,Machine Learning Engineer,220000.0,USD,220000.0,US,0.0,US,M
2512,2024,SE,FT,Machine Learning Engineer,200000.0,USD,200000.0,US,0.0,US,M
2513,2024,MI,FT,Data Engineer,115000.0,USD,115000.0,US,100.0,US,M
2514,2024,MI,FT,Data Engineer,95000.0,USD,95000.0,US,100.0,US,M
2515,2024,SE,FT,Analytics Engineer,230000.0,USD,230000.0,US,0.0,US,M
2516,2024,SE,FT,Analytics Engineer,170000.0,USD,170000.0,US,0.0,US,M
2517,2024,SE,FT,Analytics Engineer,250000.0,USD,250000.0,US,100.0,US,M
2518,2024,SE,FT,Analytics Engineer,180700.0,USD,180700.0,US,100.0,US,M
2519,2024,SE,FT,Analytics Engineer,136675.0,USD,136675.0,US,100.0,US,M
2520,2024,SE,FT,Analytics Engineer,111648.0,USD,111648.0,US,100.0,US,M
2521,2024,SE,FT,Data Engineer,65000.0,GBP,81250.0,GB,0.0,GB,M
2522,2024,SE,FT,Data Engineer,65000.0,GBP,81250.0,GB,0.0,GB,M
2523,2024,SE,FT,Machine Learning Engineer,254000.0,USD,254000.0,US,0.0,US,M
2524,2024,SE,FT,Machine Learning Engineer,200000.0,USD,200000.0,US,0.0,US,M
2525,2024,SE,FT,Data Scientist,161000.0,USD,161000.0,US,0.0,US,M
2526,2024,SE,FT,Data Scientist,133200.0,USD,133200.0,US,0.0,US,M
2527,2024,MI,FT,Data Engineer,85000.0,GBP,106250.0,GB,0.0,GB,M
2528,2024,MI,FT,Data Engineer,85000.0,GBP,106250.0,GB,0.0,GB,M
2529,2024,EN,FT,Research Engineer,160000.0,USD,160000.0,US,0.0,US,M
2530,2024,EN,FT,Research Engineer,140000.0,USD,140000.0,US,0.0,US,M
2531,2024,MI,FT,Machine Learning Engineer,223100.0,USD,223100.0,US,100.0,US,M
2532,2024,MI,FT,Machine Learning Engineer,126400.0,USD,126400.0,US,100.0,US,M
2533,2024,SE,FT,Analytics Engineer,190000.0,USD,190000.0,US,100.0,US,M
2534,2024,SE,FT,Analytics Engineer,136000.0,USD,136000.0,US,100.0,US,M
2535,2024,MI,FT,Data Strategist,134400.0,USD,134400.0,US,0.0,US,M
2536,2024,MI,FT,Data Strategist,100000.0,USD,100000.0,US,0.0,US,M
2537,2024,MI,FT,Data Engineer,246000.0,USD,246000.0,US,100.0,US,M
2538,2024,MI,FT,Data Engineer,170000.0,USD,170000.0,US,100.0,US,M
2539,2024,EN,FT,Research Analyst,198000.0,USD,198000.0,US,100.0,US,M
2540,2024,EN,FT,Research Analyst,115000.0,USD,115000.0,US,100.0,US,M
2541,2024,MI,FT,Data Scientist,150000.0,USD,150000.0,US,100.0,US,M
2542,2024,MI,FT,Data Scientist,103000.0,USD,103000.0,US,100.0,US,M
2543,2024,SE,FT,Data Scientist,170000.0,USD,170000.0,US,0.0,US,M
2544,2024,SE,FT,Data Scientist,160000.0,USD,160000.0,US,0.0,US,M
2545,2024,SE,FT,Data Analyst,175000.0,USD,175000.0,US,0.0,US,M
2546,2024,SE,FT,Data Analyst,117000.0,USD,117000.0,US,0.0,US,M
2547,2024,SE,FT,Data Analyst,85000.0,USD,85000.0,US,0.0,US,M
2548,2024,SE,FT,Data Analyst,79000.0,USD,79000.0,US,0.0,US,M
2549,2024,MI,FT,Analytics Engineer,100000.0,USD,100000.0,US,100.0,US,M
2550,2024,MI,FT,Analytics Engineer,75000.0,USD,75000.0,US,100.0,US,M
2551,2024,SE,FT,Data Scientist,205000.0,USD,205000.0,US,0.0,US,M
2552,2024,SE,FT,Data Scientist,190000.0,USD,190000.0,US,0.0,US,M
